DISTRICT,TOWN,DESTINATION,Category,Favourite
NANDED,Kinwat (M Cl),Sahastra kund,Lake & Water bodies,0
NANDED,Kinwat (M Cl),Painganga wildlife,Forests & Wildlife,0
NANDED,Kinwat (M Cl),Mahurgad,Forts,0
NANDED,"Nanded-Waghala (M
Corp.)",Nanded Fort Sachkant Gurudwara,Religious & Spiritual,0
OSMANABAD,Osmanabad (M Cl),Ramlingam ghat,Hill-Station,0
OSMANABAD,Osmanabad (M Cl),Dharashiv Caves Balaghat Mountains,Caves,0
OSMANABAD,Osmanabad (M Cl),Tulja Devi,Religious & Spiritual,0
PARBHANI,Parbhani (M Cl),Hajarat Turabul Huq,Religious & Spiritual,0
PARBHANI,Pathri (M Cl), Shirdi Saibaba Janmshtan Mandir,Religious & Spiritual,0
PARBHANI,Pathri (M Cl),Pathri,Religious & Spiritual,0
PUNE,Junnar (M Cl),Shivneri Fort,Forts,0
PUNE,Rajgurunagar (Khed),Bhimashanker ,Forests & Wildlife,0
PUNE,Alandi (M Cl),Aland  (Samadhi of Sant Dnyaneshwar),Religious & Spiritual,0
PUNE,Lonavala (M Cl),Lonavala,Hill-Station,0
PUNE,Lonavala (M Cl),Khandala,Hill-Station,0
PUNE,Lonavala (M Cl),Lohagad,Forts,0
PUNE,Lonavala (M Cl),Karla Caves,Caves,0
PUNE,Dehu (CT),Dehu (  Mahasamadhi Of Sant Tukaram ),Religious & Spiritual,0
PUNE,Pune (CB)/ m.corp),Kelkar Museum,Museum,0
PUNE,Pune (CB)/ m.corp),Sinhgad Fort,Forts,0
PUNE,Pune (CB)/ m.corp),Ranjangaon (Ashtvinayak),Religious & Spiritual,0
PUNE,Pune (CB)/ m.corp),"Shaniwar wada,",Heritage Site,0
PUNE,Pune (CB)/ m.corp),Khadakwasala,Lake & Water bodies,0
PUNE,"Pune (CB)/ m.corp)
12 km",Panchet Dam,Lake & Water bodies,0
PUNE,Pune (CB)/ m.corp),Agha Khan Place,Heritage Site,0
PUNE,Pune (CB)/ m.corp),Chattri ( Architecture/Memorial ),Heritage Site,0
PUNE,Pune (CB)/ m.corp),Katraj Garden,Forests & Wildlife,0
PUNE,Pune (CB)/ m.corp),Parvati (hill and Temple Oldest heritage),Heritage Site,0
PUNE,Pune (CB)/ m.corp),Pataleshwar Caves,Caves,0
PUNE,Pune (CB)/ m.corp),Moregaon (Ashtvinayak),Religious & Spiritual,0
PUNE,Pune (CB)/ m.corp),Rajgarh Fort,Forts,0
PUNE,"Pune (CB)/ m.corp)
50 km",Torna Fort,Forts,0
PUNE,Pune (CB)/ m.corp),Theur(ashtvinayak),Religious & Spiritual,0
PUNE,Pune (CB)/ m.corp),Khurundar Fort,Forts,0
PUNE,Jejuri (M Cl),Jejuri (khandoba or Khandobachi Temple),Religious & Spiritual,0
RAIGHAD,Matheran (M Cl),Matheran,Hill-Station,1
RAIGHAD,Alibag (M Cl),Alibag Fort,Forts,0
RAIGHAD,Alibag (M Cl),Alibag Beach,Beaches,0
RAIGHAD,Alibag (M Cl),Mandva beach,Beaches,0
RAIGHAD,Murud (M Cl),Murud-Janjira,Forts,0
RAIGHAD,Murud (M Cl),Phansad wildlife sanctury,Forests & Wildlife,0
RAIGHAD,Shrivardhan (M Cl),Harihareshwer,Religious & Spiritual,0
RAIGHAD,Mahad (M Cl),Mahad (Ashtavinayak),Lake & Water bodies,0
RATNAGIRI,Dapoli Camp (CT),Harnai Beach,Beaches,0
RATNAGIRI,Ratnagiri (M Cl),Ganpatipule,Beaches,0
RATNAGIRI,Ratnagiri (M Cl),Ganpatipule,Religious & Spiritual,0
RATNAGIRI,Rajapur (M Cl),Ganga / Hot Water Spring,Lake & Water bodies,0
SANGLI,Manadur (CT),Chandoli Wildlife Sanctuary,Forests & Wildlife,0
SANGLI,Vita (M Cl),Sagareshwar Wildlife Sanctuary,Forests & Wildlife,0
SATARA,Mahabaleshwar (M,Mahabale/prapgarh fort,Forts,0
SATARA,Panchgani (M Cl),Panchgani,Hill-Station,0
SATARA,Satara (M Cl),Shri Bhavani Museum,Museum,0
SATARA,Satara (M Cl),Thosegarh water fall,Lake & Water bodies,0
SATARA,Satara (M Cl),Kas lake,Lake & Water bodies,0
SATARA,Satara (M Cl),Ajinkyatra fort,Forts,0
SATARA,Satara (M Cl),Sajangarh,Forts,0
SATARA,Patan (CT),Koyna lake,Lake & Water bodies,0
SINDHUDURG,Malwan (M Cl),Malvan Fort,Forts,0
SINDHUDURG,Malwan (M Cl),Malvan beach,Beaches,0
SINDHUDURG,Malwan (M Cl),Tarkarli,Beaches,0
SINDHUDURG,Malwan (M Cl),Vijaydurg fort,Forts,0
SINDHUDURG,Sawantwadi (M Cl),Amboli Waterfalls,Lake & Water bodies,0
SOLAPUR,Solapur (M Corp.),Akalkote,Religious & Spiritual,0
SOLAPUR,Solapur (M Corp.),Kundalsanga,Religious & Spiritual,0
SOLAPUR,Pandharpur (M Cl),Pandharpur,Religious & Spiritual,0
SOLAPUR,Mangalvedhe (M Cl),Mangalwedha,Heritage Site,0
THANE,Palghar (M Cl),Kelve Beach,Beaches,0
THANE,Palghar (M Cl),Kelve Fort,Forts,0
THANE,Palghar (M Cl),Kelve Dam,Lake & Water bodies,0
THANE,Vasai (M Cl),Ganeshpuri(swaminityanand Maharaj),Religious & Spiritual,0
THANE,Vasai (M Cl),Purtgali Fort,Forts,0
THANE,Ambarnath(M Cl),"AMBARNATH Shiv Temple & Ganesh
Temple in Titwala",Religious & Spiritual,0
WARDHA,Wardha (M Cl),SEVAGRAM,Heritage Site,0
WASHIM,Washim (M Cl),Shirpur ( Parshwanath Digamber Jain Mandir),Religious & Spiritual,0
WASHIM,Washim (M Cl),Padmateerth,Religious & Spiritual,0
YAVATMAL,Yavatmal (M Cl),Kalamb Tipeshwar Sanctury,Forests & Wildlife,0
YAVATMAL,Ghatanji (M Cl),Ghatanji & Kaleshwar,Religious & Spiritual,0
